,date,tital,user,dislike,like,rating,page_index
0,posted on 30 Jul 2020,Bpo Information Processing Specialist  in Hyderabad, Anonymous · Two wheeler loan dept Division    ,Dislikes Only stress I felt bad in TCS.  May be it required to that organization to become be best and to be in first place but I failed to face it ,Likes Work with TCS gives a great experience and knowledge.  There I worked with a good team leader who can support each and every step of process.  They learned me handling stress and pressure at odd situations. Salary hike makes me unhappy a little bit but the benefits is good.  If work with TCS may gives me good career also.  Now I resigned due to personal problems.  Working environment is very and friendly.  My project always have a updates and includes innovations. When I am working with TCS I felt that I am working in an government org that much security I felt while working with TCS. ...Read More,5.0,2
1,posted on 31 Aug 2020,Process Associate  in Chennai, Anonymous · Telecommunication Division    ,"Dislikes My project got migrated so they gave only internal movement which i don't like, Didn't give a Chance for RMG its really Disgusting the main reason to leave tcs is politics.","Likes Work Environment job culture all are good, women's safety and job Security is good benefit",4.0,2
2,posted on 30 Aug 2020,Process Associate  in Gachibowli , Anonymous · Very Good Division    ,Dislikes Salary is decent but career growth is low,Likes Good work environment and culture teammates are supportive and the management is transparent and company policies are good ,5.0,2
3,posted on 26 Jul 2019,Associate Consultant  in Bangalore, Anonymous · EIS Division    ,"Dislikes 1. First of all, everybody in TCS are simple LIAR. HR will lie about salary at the time of joining. Manager will lie about work profile at the time of joining the project. Sometime I feel, TCS Managers are getting salary for telling lie to employee. One HR manager told me TCS salary are like weather forecasting. another HR manager told me, you may need to pay TCS for working in TCS. I have written proof.
2. They deduct salary of a person after joining. Don't give allocation even if your are actively working in a project. And hence, salary cut.
3. I have never seen such regionalism in any other organisation in India like TCS. North manager does not like south manager and vise a versa, Telegu manager does not like Tamil, Tamil manager does not like Kannadiga etc. etc.
4. There are few managers who takes money from recruitment firm. Those managers recruit people even if current project is over populated. In my project, they could not even allocate a bug per head per week. I mentioned the same to Regional HR manager, but no action was taken. This is overt secret in TCS.
5. TCS encourages its employee to use personal laptop or computer to connect and work in client network. I have written proof. I raised the concern to appropriate authority. But No Action was taken, in fact the guy from grievance cell was trying to implicate one fresher for the same.   ...Read More",Likes You can draw salary without doing any work and even without going to office a single day in a month.,1.0,2
4,posted on 12 Aug 2020,It Analyst  in Kolkata, Anonymous · IoT Division    ,"Dislikes Some of the managers are lagging with technical knowledge and skills. They are bit difficult to deal with. And some of them abuses badly to other resources. This is completely intolerable. Even HRs do not help associates at this point and acting like puppets of those managers, especially RMGs. This culture needs to be changed. ","Likes I am carrying company provided laptop before this pandemic hits in. As a DevOps Engineer, I already have VPN and admin privileges turned on long before. I have not faced any lag during WFH period. Company is also providing Internet connection charges. I am quite happy what TCS is doing. ",4.0,2
5,posted on 21 Aug 2020,Assistant System Engineer  in Pune, Anonymous · It Services Division    ,Dislikes Salary appraisal is very low for beginners and is affected by politics at local team level but if you survive for some time then everything sorts out gradually.,Likes Apart from Job security the company provides various opportunities for skill development. The flexible working environment and various benefits provided by the company are other plus points.,4.0,2
6,posted on 29 Aug 2020,Assistant Consultant (ITIS)  in Whitefield, Anonymous · ITIS Division    ,Dislikes Nothing to dislike about working at TCS,Likes Good and excellent job security provided by TCS during this pandemic. Good company policies and excellent support for the employes by providing work from home option.,4.0,2
7,posted on 06 Jul 2020,"Senior Systems Engineer  in Hyderabad, Telangana, India", Anonymous · It Services Division    ,"Dislikes I worked as a BA for a pilot project Motorola,
They laid off without Any prior update.
Veey poor management its was terrible due to such managers in TCS the brand value is effected.
He doesn't care what happens to employees life if they update all of sudden that we are fired off from our job, no intimation.
Internal politics arehuge, higher authorities needs to look over it.
No additional allowances always budget oriented no employee satisfaction.
Differentiation between BA and tcs payroll employees.
TCS was my dream company but viewing such behaviour towards employees from management in few projects won't prefer back again, however TCS runs it's show by recruiting freshers with low salaries and crushing them.
It's not secure anymore....Read More","Likes Job security is only better compared to other companies but lot of internal politics.
Employees suffer a lot because of role change or project change.
",2.0,2
8,posted on 31 Aug 2020,Data Scientist for 1.5 years in Thane, Aditya Pande · Former Employee · Innovations Division    ,"Dislikes I worked as a BA for a pilot project Motorola,
They laid off without Any prior update.
Veey poor management its was terrible due to such managers in TCS the brand value is effected.
He doesn't care what happens to employees life if they update all of sudden that we are fired off from our job, no intimation.
Internal politics arehuge, higher authorities needs to look over it.
No additional allowances always budget oriented no employee satisfaction.
Differentiation between BA and tcs payroll employees.
TCS was my dream company but viewing such behaviour towards employees from management in few projects won't prefer back again, however TCS runs it's show by recruiting freshers with low salaries and crushing them.
It's not secure anymore....Read More","Likes Its all about 50% knowledge, 25% luck and 25% connections. Great in terms of job security. Gives good health benefits. You can take leave for studies if you are willing too after 2years of working.",4.0,2
9,posted on 01 Aug 2020,Sql Database Administrator for 7.4 years in Kolkata, Anonymous · Current Employee · ITIS Division    ,"Dislikes People keep the trust in the company and want to carry on with the jobs until they retire hence promotions and growth are time consuming. However on the contrary the learning opportunities are fabulous and one can really work in different horizons and domains. Shifting career interests are amazing here, at any age! 🙂","Likes TCS had started the precautionary measures since the early stages of covid and most of the employees were stationed to work from home as new normal. 
The company has been instrumental in keeping the psychological parameters balanced in this tough time with the help of different programs and expert views. Work life balance is equally taken care of. ",5.0,2
